Date,Event,Category,Description
1990-08-02,Gulf War Iraqi Invasion,Geopolitical,Iraq invades Kuwait leading to international coalition intervention and severe crude supply anxieties.
1997-07-17,Asian Financial Crisis,Economic,Financial contagion triggers severe demand contraction across major Asian industrial markets.
2001-09-11,September 11 Attacks,Geopolitical,Terrorist strikes in the US trigger global security overhaul and intense Middle Eastern geopolitical tensions.
2003-03-19,US Invasion of Iraq,Geopolitical,Military intervention shifts production regimes and introduces sustained regional stability premiums.
2008-07-11,Global Financial Crisis Peak,Economic,Lehman Brothers collapse triggers systemic global liquidity crash and immediate crude demand destruction.
2011-03-15,Arab Spring Outbreak,Geopolitical,Regional uprisings across MENA networks disrupt production logistics and alter political risk baselines.
2014-11-27,OPEC Market Share Strategy,Policy,OPEC chooses market share defense over production cuts triggering a historic multi-year crude supply glut.
2018-05-08,US Iran Sanctions Re-imposition,Policy,US withdraws from JCPOA cutting Iranian export access and tightening global sour crude availability.
2020-03-06,OPEC+ Price War,Policy,Temporary collapse of Russia-Saudi compliance triggers record single-day production surges amidst COVID-19 demand drops.
2022-02-24,Russia-Ukraine Conflict,Geopolitical,Outbreak of war triggers structural shifts in European pipeline dependencies and massive international trade embargoes.
